locus	cpg_label	gc_background	gc_peaks	gc_diff
chr12:53439918-53444919	Upstream Island	0.614	0.6	0.978
chr19:55794327-55799328	Upstream Island	0.61	0.66	1.08
chr19:42783305-42788306	Upstream Island	0.631	0.68	1.08
chr12:6874795-6879796	Upstream Island	0.603	0.567	0.94
chr11:1410108-1415109	Upstream Island	0.632	0.68	1.08
chr16:763864-768865	Upstream Island	0.641	0.673	1.05
chr8:21986921-21991922	Upstream Island	0.648	0.573	0.885
chr17:29717052-29722053	Upstream Island	0.46	0.66	1.43
chr11:65324016-65329017	Upstream Island	0.57	0.7	1.23
chr2:232467930-232472931	Upstream Island	0.523	0.627	1.2
chr17:36608426-36613427	Upstream Island	0.543	0.613	1.13
chr11:45920168-45925169	Upstream Island	0.641	0.66	1.03
chr22:38378079-38383080	Upstream Island	0.611	0.667	1.09
chr9:139963082-139968083	Upstream Island	0.574	0.62	1.08
chr14:105963359-105968360	Upstream Island	0.563	0.693	1.23
chr16:70713048-70718049	Upstream Island	0.586	0.667	1.14
chr1:156214713-156219714	Upstream Island	0.565	0.653	1.16
chr19:1471877-1476878	Upstream Island	0.575	0.673	1.17
chr19:1449568-1454569	Upstream Island	0.624	0.693	1.11
chr19:51051458-51056459	Upstream Island	0.588	0.56	0.953
chr11:1429760-1434761	Upstream Island	0.688	0.633	0.921
chr19:51068259-51073260	Upstream Island	0.609	0.72	1.18
chr5:667633-672634	Upstream Island	0.643	0.693	1.08
chr19:1449041-1454042	Upstream Island	0.67	0.673	1.01
chr1:2143227-2148228	Upstream Island	0.656	0.693	1.06
chr17:79100751-79105752	Upstream Island	0.679	0.647	0.953
chr9:139915809-139920810	Upstream Island	0.638	0.6	0.941
chr9:139237956-139242957	Upstream Island	0.663	0.667	1.01
chr9:139733405-139738406	Upstream Island	0.668	0.687	1.03
chr1:2375632-2380633	Upstream Island	0.638	0.687	1.08
chr8:145725789-145730790	Upstream Island	0.663	0.667	1
chr19:1879060-1884061	Upstream Island	0.581	0.767	1.32
chr8:145725169-145730170	Upstream Island	0.663	0.647	0.975
chr17:79101832-79106833	Upstream Island	0.65	0.687	1.06
chr9:132257920-132262921	Upstream Island	0.561	0.627	1.12
chr20:62031232-62036233	Upstream Island	0.613	0.567	0.924
chr9:126128474-126133475	Upstream Island	0.607	0.667	1.1
chr1:32801593-32806594	Upstream Island	0.528	0.547	1.03
chr1:154975153-154980154	Upstream Island	0.554	0.66	1.19
chr17:4438867-4443868	Upstream Island	0.618	0.627	1.01
chr11:3181267-3186268	Upstream Island	0.646	0.533	0.825
chr7:100085146-100090147	Upstream Island	0.525	0.593	1.13
chr19:50303256-50308257	Upstream Island	0.532	0.627	1.18
chr17:75445686-75450687	Upstream Island	0.586	0.62	1.06
chr17:7306544-7311545	Upstream Island	0.584	0.6	1.03
chr11:68922954-68927955	Upstream Island	0.527	0.687	1.3
chr9:132257170-132262171	Upstream Island	0.548	0.693	1.27
chr17:79086663-79091664	Upstream Island	0.601	0.667	1.11
chr19:4371244-4376245	Upstream Island	0.599	0.673	1.12
chr15:41851664-41856665	Upstream Island	0.53	0.593	1.12
chr1:2004178-2009179	Upstream Island	0.533	0.62	1.16
chr18:77334647-77339648	Upstream Island	0.575	0.68	1.18
chr22:51141371-51146372	Upstream Island	0.51	0.653	1.28
chr9:124887432-124892433	Upstream Island	0.53	0.573	1.08
chr9:139404451-139409452	Upstream Island	0.612	0.64	1.05
chr14:105143405-105148406	Upstream Island	0.618	0.68	1.1
chr11:67175416-67180417	Upstream Island	0.585	0.593	1.01
chr19:51014829-51019830	Upstream Island	0.586	0.64	1.09
chr19:1471340-1476341	Upstream Island	0.616	0.653	1.06
chr16:75269778-75274779	Upstream Island	0.595	0.633	1.06
chr10:134900600-134905601	Upstream Island	0.588	0.62	1.06
chr11:73052957-73057958	Upstream Island	0.573	0.693	1.21
chr3:184052780-184057781	Upstream Island	0.585	0.573	0.98
chr22:38378581-38383582	Upstream Island	0.613	0.6	0.979
chr19:51050793-51055794	Upstream Island	0.647	0.5	0.773
chr7:44152205-44157206	Upstream Island	0.623	0.613	0.984
chr17:38217937-38222938	Upstream Island	0.568	0.593	1.04
chr13:113714119-113719120	Upstream Island	0.559	0.6	1.07
chr19:55952479-55957480	Upstream Island	0.532	0.533	1
chr15:41849738-41854739	Upstream Island	0.572	0.647	1.13
chr3:13520231-13525232	Upstream Island	0.537	0.593	1.11
chr19:14605155-14610156	Upstream Island	0.507	0.487	0.96
chr10:123921414-123926415	Upstream Island	0.459	0.613	1.34
chr18:70534635-70539636	Upstream Island	0.372	0.58	1.56
chr14:51560310-51565311	Upstream Island	0.376	0.473	1.26
chr18:25755946-25760947	Upstream Island	0.392	0.633	1.61
chr10:83633762-83638763	Upstream Island	0.383	0.653	1.7
chr8:77592848-77597849	Upstream Island	0.354	0.653	1.85
chr1:159140075-159145076	Upstream Island	0.43	0.627	1.46
chr12:12714041-12719042	Upstream Island	0.541	0.42	0.777
chr12:26274420-26279421	Upstream Island	0.604	0.367	0.607
chr10:3147476-3152477	Upstream Island	0.577	0.607	1.05
chr19:49217700-49222701	Upstream Island	0.558	0.747	1.34
chr8:22855946-22860947	Upstream Island	0.522	0.553	1.06
chr19:13134376-13139377	Upstream Island	0.508	0.527	1.04
chr17:70112347-70117348	Upstream Island	0.572	0.507	0.885
chr10:134459495-134464496	Upstream Island	0.592	0.447	0.754
chr12:58021270-58026271	Upstream Island	0.62	0.613	0.989
chr5:132154357-132159358	Upstream Island	0.62	0.413	0.667
chr12:6657886-6662887	Upstream Island	0.51	0.66	1.29
chr10:668428-673429	Upstream Island	0.578	0.687	1.19
chr1:204796551-204801552	Upstream Island	0.506	0.587	1.16
chr7:5533011-5538012	Upstream Island	0.546	0.587	1.07
chr4:1644377-1649378	Upstream Island	0.526	0.667	1.27
chr19:46799832-46804833	Upstream Island	0.543	0.687	1.27
chr1:204796012-204801013	Upstream Island	0.507	0.62	1.22
chr8:130994213-130999214	Upstream Island	0.506	0.567	1.12
chr10:1230745-1235746	Upstream Island	0.515	0.707	1.37
chr5:139165785-139170786	Upstream Island	0.53	0.727	1.37
chr1:17034488-17039489	Upstream Island	0.539	0.62	1.15
chr1:36023707-36028708	Upstream Island	0.537	0.647	1.21
chr5:139059258-139064259	Upstream Island	0.534	0.607	1.14
chr19:18698934-18703935	Upstream Island	0.554	0.567	1.02
chr2:74228290-74233291	Upstream Island	0.536	0.547	1.02
chr7:128471322-128476323	Upstream Island	0.57	0.56	0.982
chr1:203096000-203101001	Upstream Island	0.518	0.613	1.18
chr11:62358063-62363064	Upstream Island	0.505	0.513	1.02
chr1:33545318-33550319	Upstream Island	0.491	0.613	1.25
chr10:134548634-134553635	Upstream Island	0.6	0.647	1.08
chr10:668983-673984	Upstream Island	0.557	0.64	1.15
chr5:131593438-131598439	Upstream Island	0.541	0.567	1.05
chr6:167315491-167320492	Upstream Island	0.573	0.573	1
chr1:160053996-160058997	Upstream Island	0.532	0.453	0.851
chr2:220144775-220149776	Upstream Island	0.541	0.5	0.925
chr19:18964930-18969931	Upstream Island	0.514	0.527	1.02
chr16:87754526-87759527	Upstream Island	0.507	0.587	1.16
chr17:36585661-36590662	Upstream Island	0.533	0.607	1.14
chr10:81003620-81008621	Upstream Island	0.567	0.627	1.11
chr11:62472462-62477463	Upstream Island	0.568	0.627	1.1
chr3:193986796-193991797	Upstream Island	0.542	0.647	1.19
chr1:229542168-229547169	Upstream Island	0.561	0.647	1.15
chr12:110155715-110160716	Upstream Island	0.542	0.667	1.23
chr4:2432385-2437386	Upstream Island	0.477	0.593	1.24
chr17:77922217-77927218	Upstream Island	0.565	0.547	0.968
chr19:11565650-11570651	Upstream Island	0.519	0.713	1.38
chr1:155143823-155148824	Upstream Island	0.603	0.72	1.19
chr20:17205028-17210029	Upstream Island	0.561	0.827	1.47
chr14:24036735-24041736	Upstream Island	0.603	0.567	0.939
chr17:40557705-40562706	Upstream Island	0.514	0.573	1.12
chr19:1358367-1363368	Upstream Island	0.53	0.747	1.41
chr19:13125505-13130506	Upstream Island	0.477	0.64	1.34
chr10:679041-684042	Upstream Island	0.537	0.693	1.29
chr14:65171317-65176318	Upstream Island	0.55	0.667	1.21
chr5:140871974-140876975	Upstream Island	0.504	0.587	1.16
chr5:87436900-87441901	Upstream Island	0.472	0.507	1.07
chr10:105421302-105426303	Upstream Island	0.549	0.647	1.18
chr11:46354985-46359986	Upstream Island	0.497	0.62	1.25
chr9:130453177-130458178	Upstream Island	0.471	0.567	1.2
chr15:91500856-91505857	Upstream Island	0.477	0.58	1.22
chr18:46386250-46391251	Upstream Island	0.485	0.6	1.24
chr5:87985343-87990344	Upstream Island	0.511	0.607	1.19
chr14:65746488-65751489	Upstream Island	0.474	0.553	1.17
chr14:102679092-102684093	Upstream Island	0.524	0.507	0.967
chr1:205197190-205202191	Upstream Island	0.441	0.54	1.22
chr1:33624561-33629562	Upstream Island	0.538	0.64	1.19
chr1:202994824-202999825	Upstream Island	0.483	0.573	1.19
chr11:43595929-43600930	Upstream Island	0.541	0.527	0.974
chr11:18743356-18748357	Upstream Island	0.548	0.513	0.937
chr17:18088225-18093226	Upstream Island	0.5	0.473	0.947
chr12:752583-757584	Upstream Island	0.508	0.527	1.04
chr15:37385571-37390572	Upstream Island	0.556	0.64	1.15
chr12:58288344-58293345	Upstream Island	0.491	0.66	1.34
chr1:46667393-46672394	Upstream Island	0.486	0.513	1.06
chr1:111096178-111101179	Upstream Island	0.478	0.473	0.99
chr10:667869-672870	Upstream Island	0.543	0.573	1.06
chr20:36033360-36038361	Upstream Island	0.546	0.467	0.855
chr19:46145336-46150337	Upstream Island	0.519	0.627	1.21
chr8:27491680-27496681	Upstream Island	0.529	0.6	1.13
chr12:56474443-56479444	Upstream Island	0.499	0.653	1.31
chr10:133877456-133882457	Upstream Island	0.543	0.613	1.13
chr5:87983776-87988777	Upstream Island	0.515	0.54	1.05
chr2:105482268-105487269	Upstream Island	0.524	0.607	1.16
chrX:39943406-39948407	Upstream Island	0.485	0.6	1.24
chr10:103068473-103073474	Upstream Island	0.504	0.6	1.19
chr19:42747993-42752994	Upstream Island	0.599	0.62	1.03
chr5:141258181-141263182	Upstream Island	0.595	0.493	0.829
chr7:98631787-98636788	Upstream Island	0.546	0.473	0.868
chr12:118574699-118579700	Upstream Island	0.473	0.507	1.07
chr19:47768373-47773374	Upstream Island	0.497	0.647	1.3
chr17:80693787-80698788	Upstream Island	0.47	0.587	1.25
chr19:55796633-55801634	Upstream Island	0.506	0.607	1.2
chr17:19247637-19252638	Upstream Island	0.495	0.547	1.1
chr19:42914456-42919457	Upstream Island	0.488	0.653	1.34
chr19:30718055-30723056	Upstream Island	0.468	0.573	1.22
chr22:46449584-46454585	Upstream Island	0.439	0.647	1.47
chr12:56472793-56477794	Upstream Island	0.533	0.547	1.03
chr1:203241454-203246455	Upstream Island	0.539	0.513	0.952
chr19:13111500-13116501	Upstream Island	0.522	0.56	1.07
chr17:72367695-72372696	Upstream Island	0.438	0.527	1.2
chr1:229543974-229548975	Upstream Island	0.501	0.553	1.11
chr19:18266210-18271211	Upstream Island	0.516	0.707	1.37
chr5:176046286-176051287	Upstream Island	0.532	0.58	1.09
chr22:37956944-37961945	Upstream Island	0.494	0.567	1.15
chr11:72300927-72305928	Upstream Island	0.534	0.633	1.18
chr1:204797556-204802557	Upstream Island	0.474	0.62	1.31
chr3:50313605-50318606	Upstream Island	0.515	0.52	1.01
chr11:134282336-134287337	Upstream Island	0.495	0.5	1.01
chr14:93389477-93394478	Upstream Island	0.492	0.613	1.25
chr7:1014905-1019906	Upstream Island	0.555	0.587	1.06
chr11:64138057-64143058	Upstream Island	0.537	0.6	1.12
chr11:65244386-65249387	Upstream Island	0.488	0.447	0.916
chr4:2366335-2371336	Upstream Island	0.491	0.547	1.11
chr1:21978021-21983022	Upstream Island	0.503	0.647	1.28
chr1:34630004-34635005	Upstream Island	0.453	0.693	1.53
chr8:26435088-26440089	Upstream Island	0.397	0.54	1.36
chr22:46457928-46462929	Upstream Island	0.35	0.647	1.85
chr1:145038078-145043079	Upstream Island	0.333	0.493	1.48
chr7:99611827-99616828	Upstream Island	0.451	0.487	1.08
chr3:156007288-156012289	Upstream Island	0.406	0.607	1.5
chr13:113409030-113414031	Upstream Island	0.465	0.513	1.1
chr22:18505434-18510435	Upstream Island	0.395	0.633	1.6
chr2:105459812-105464813	Upstream Island	0.379	0.527	1.39
chr9:87283520-87288521	Upstream Island	0.387	0.413	1.07
chr12:57983874-57988875	Upstream Island	0.428	0.5	1.17
chr5:87979312-87984313	Upstream Island	0.391	0.4	1.02
chr15:102030634-102035635	Upstream Island	0.471	0.513	1.09
chr16:67941744-67946745	Upstream Island	0.517	0.58	1.12
chr8:114444535-114449536	Upstream Island	0.458	0.593	1.3
chr14:24035132-24040133	Upstream Island	0.546	0.56	1.03
chr1:243637014-243642015	Upstream Island	0.458	0.54	1.18
chr9:112401421-112406422	Upstream Island	0.46	0.54	1.17
chr3:112050638-112055639	Upstream Island	0.428	0.48	1.12
chr11:65246695-65251696	Upstream Island	0.456	0.493	1.08
chr17:72270513-72275514	Upstream Island	0.446	0.507	1.14
chr13:84453024-84458025	Upstream Island	0.403	0.493	1.22
chr9:23822498-23827499	Upstream Island	0.432	0.547	1.27
chr12:54087781-54092782	Upstream Island	0.463	0.52	1.12
chr1:203097234-203102235	Upstream Island	0.494	0.527	1.07
chr6:44244181-44249182	Upstream Island	0.486	0.587	1.21
chr12:54069238-54074239	Upstream Island	0.417	0.533	1.28
chr1:46860396-46865397	Upstream Island	0.478	0.6	1.26
chr22:41634449-41639450	Upstream Island	0.465	0.713	1.53
chr14:42074941-42079942	Upstream Island	0.474	0.713	1.51
chr2:217557866-217562867	Upstream Island	0.437	0.58	1.33
chr19:14605922-14610923	Upstream Island	0.488	0.607	1.24
chr17:41983137-41988138	Upstream Island	0.474	0.633	1.33
chr1:154299861-154304862	Upstream Island	0.488	0.593	1.22
chr12:111179587-111184588	Upstream Island	0.474	0.567	1.19
chr1:33545983-33550984	Upstream Island	0.446	0.493	1.11
chr11:119235305-119240306	Upstream Island	0.565	0.52	0.921
chr3:139257716-139262717	Upstream Island	0.49	0.56	1.14
chr6:44244706-44249707	Upstream Island	0.453	0.553	1.22
chr21:47165411-47170412	Upstream Island	0.484	0.6	1.24
chr11:57414151-57419152	Upstream Island	0.43	0.647	1.51
chr9:14347688-14352689	Upstream Island	0.457	0.467	1.02
chr5:140871191-140876192	Upstream Island	0.532	0.553	1.04
chr15:65593615-65598616	Upstream Island	0.446	0.473	1.06
chr6:169648406-169653407	Upstream Island	0.497	0.547	1.1
chr9:91150367-91155368	Upstream Island	0.53	0.487	0.918
chr1:4715978-4720979	Upstream Island	0.456	0.613	1.35
chr11:65244898-65249899	Upstream Island	0.469	0.58	1.24
chr18:31737360-31742361	Upstream Island	0.337	0.633	1.88
chr4:76553878-76558879	Upstream Island	0.401	0.487	1.21
chr4:105410710-105415711	Upstream Island	0.375	0.44	1.17
chr15:49266408-49271409	Upstream Island	0.391	0.56	1.43
chr18:24441752-24446753	Upstream Island	0.394	0.527	1.34
chr3:181435786-181440787	Upstream Island	0.418	0.613	1.47
chr12:82150793-82155794	Upstream Island	0.358	0.667	1.86
chr1:66997286-67002287	Upstream Island	0.369	0.6	1.63
chr4:145565283-145570284	Upstream Island	0.377	0.653	1.73
chr18:56529116-56534117	Upstream Island	0.435	0.613	1.41
chr1:10269134-10274135	Upstream Island	0.381	0.56	1.47
chr14:51025402-51030403	Upstream Island	0.363	0.613	1.69
chr8:91802085-91807086	Upstream Island	0.359	0.593	1.65
chr2:236671774-236676775	Upstream Island	0.489	0.533	1.09
chr8:104151220-104156221	Upstream Island	0.471	0.587	1.25
chr15:51632111-51637112	Upstream Island	0.419	0.573	1.37
chr1:111096682-111101683	Upstream Island	0.479	0.553	1.16
chr7:54608330-54613331	Upstream Island	0.569	0.487	0.855
chr11:63447444-63452445	Upstream Island	0.417	0.533	1.28
